47172,	118835,	9 5 6 7 3 11 10 8 1 2 4 0 
35020,	118613,	1 10 0 6 3 4 2 5 9 11 7 8 
39166,	119276,	11 7 5 8 6 9 4 1 2 0 10 3 
31396,	115393,	11 6 9 10 5 1 2 4 3 7 8 0 
41496,	118746,	9 1 8 6 3 11 2 7 4 5 10 0 
37256,	115820,	3 0 4 7 10 6 9 2 8 1 11 5 
34202,	118661,	0 2 1 10 7 4 11 8 6 5 3 9 
46454,	118216,	7 8 2 0 1 6 10 3 4 9 5 11 
24562,	118484,	0 4 7 6 9 2 8 10 3 11 5 1 
51954,	117851,	3 7 5 10 4 11 8 2 0 6 1 9 
29908,	118472,	0 6 4 10 2 8 1 9 5 7 3 11 
36204,	119140,	1 11 8 2 4 5 0 10 9 7 6 3 
50402,	118856,	0 2 8 9 5 10 3 11 1 4 7 6 
39000,	117263,	4 6 3 5 1 10 2 7 8 9 0 11 
51112,	117792,	10 9 6 8 0 4 3 7 5 11 2 1 
39834,	117370,	2 10 3 4 8 11 6 5 9 0 7 1 
29790,	117487,	11 5 8 9 7 10 6 1 4 3 2 0 
32714,	113371,	9 3 10 11 6 2 5 8 1 7 0 4 
42498,	116140,	11 4 1 8 6 2 0 5 3 9 7 10 
51994,	116082,	8 7 2 11 0 5 1 9 6 10 4 3 
63146,	116259,	9 3 7 8 11 4 6 5 2 0 1 10 
40606,	117312,	1 7 10 3 11 5 8 6 4 0 9 2 
46214,	115676,	4 5 0 9 11 7 1 8 3 6 2 10 
47018,	118679,	11 1 9 6 0 5 4 7 3 8 10 2 
48998,	116385,	10 1 8 4 7 5 6 0 9 2 3 11 
43878,	118644,	2 6 9 5 11 8 7 3 10 0 1 4 
40098,	116531,	5 4 9 10 11 6 3 7 2 1 0 8 
50982,	119280,	9 11 6 3 8 0 2 10 7 5 4 1 
45082,	118375,	9 3 6 2 0 7 8 5 10 4 11 1 
48512,	118750,	4 8 3 11 9 7 6 2 1 0 5 10 
42884,	115173,	3 6 1 2 0 10 5 9 4 8 7 11 
58976,	119167,	11 2 7 0 4 5 9 8 3 10 6 1 
36636,	118657,	10 8 7 9 1 3 11 2 0 4 5 6 
53156,	118595,	10 11 7 8 0 9 6 4 5 1 3 2 
45742,	117675,	8 2 0 3 5 4 9 10 6 1 7 11 
35584,	119462,	6 2 10 4 8 3 9 11 7 5 0 1 
51974,	118109,	8 3 1 0 9 6 2 4 5 11 10 7 
40374,	119605,	4 3 0 10 9 5 1 6 7 8 11 2 
42210,	117399,	2 0 6 9 8 1 10 3 11 7 5 4 
42242,	119855,	3 11 7 5 8 6 2 9 1 4 10 0 
51316,	115739,	0 8 4 10 1 9 5 3 11 2 7 6 
35124,	118421,	2 7 5 8 3 9 0 4 10 6 1 11 
36130,	117830,	3 2 5 1 8 4 10 6 11 7 0 9 
49244,	119527,	1 0 8 7 2 11 10 4 3 6 9 5 
49094,	115403,	5 1 0 11 7 4 9 3 6 8 2 10 
41768,	118267,	11 8 0 9 2 6 7 1 4 3 5 10 
34138,	118003,	10 5 8 1 11 6 3 2 7 4 9 0 
20982,	119135,	3 5 2 8 1 10 9 6 4 0 11 7 
44152,	118403,	9 7 2 1 5 8 3 4 10 11 6 0 
51924,	118136,	2 11 6 10 1 4 0 5 8 7 3 9 
35100,	116388,	2 11 6 4 9 1 8 0 5 7 3 10 
54900,	119030,	11 10 2 0 3 1 6 5 9 4 7 8 
41752,	118063,	6 11 7 10 8 0 4 2 9 3 1 5 
36966,	119029,	7 3 6 9 11 5 4 10 1 2 8 0 
65024,	116583,	11 7 10 9 8 6 0 2 4 5 1 3 
61818,	119026,	9 5 7 6 10 0 1 3 11 4 2 8 
41994,	115986,	5 0 4 6 8 10 2 7 11 9 3 1 
59672,	119236,	6 2 9 7 10 8 11 5 4 0 3 1 
60706,	116961,	5 4 9 2 6 3 0 11 8 1 7 10 
37900,	119683,	7 1 2 8 10 0 4 5 9 3 6 11 
63420,	117599,	5 6 7 9 0 10 2 4 11 8 3 1 
48416,	117901,	7 4 11 10 1 0 2 9 6 8 3 5 
47458,	117692,	10 9 1 7 5 2 6 0 3 4 8 11 
46374,	119386,	3 10 7 5 11 0 4 1 2 9 8 6 
51572,	111391,	9 6 1 8 3 5 4 10 11 0 7 2 
45370,	113722,	11 0 2 10 9 1 8 7 5 4 3 6 
27602,	116628,	5 8 10 3 1 11 9 4 7 6 2 0 
31456,	117398,	0 3 4 11 6 2 10 8 1 5 9 7 
41976,	116932,	8 6 7 2 0 1 9 3 4 10 11 5 
55130,	118362,	3 4 0 8 9 5 7 2 10 1 11 6 
38352,	119146,	8 5 0 1 3 10 6 11 2 9 7 4 
57360,	118166,	9 3 7 11 10 4 1 0 5 2 8 6 
44306,	118036,	5 1 0 7 4 3 10 6 8 11 9 2 
54666,	118816,	1 7 6 4 11 5 3 9 8 2 0 10 
46742,	118984,	3 6 11 2 8 5 0 1 10 9 4 7 
46030,	118992,	1 2 9 4 6 10 0 8 7 5 11 3 
42640,	119040,	2 0 4 10 7 9 5 1 8 11 6 3 
46160,	118434,	7 8 10 0 9 2 1 6 5 11 4 3 
56264,	117848,	1 10 2 0 6 8 5 3 7 4 11 9 
45964,	117644,	5 1 4 11 2 10 9 0 7 6 8 3 
36188,	117939,	2 6 3 0 9 4 1 8 11 7 10 5 
39696,	117769,	2 6 7 8 10 3 0 4 11 9 1 5 
53370,	118889,	9 4 0 1 10 3 11 8 2 5 7 6 
44294,	118540,	0 7 4 3 9 1 5 10 6 2 8 11 
47254,	118764,	6 11 9 8 10 2 0 5 7 1 3 4 
44246,	117487,	8 6 9 3 11 10 1 4 5 0 2 7 
44944,	118955,	3 11 5 8 10 1 6 4 0 2 7 9 
51154,	117318,	7 6 2 5 10 4 8 3 9 11 1 0 
33400,	118958,	6 7 8 3 4 0 1 10 2 5 9 11 
47234,	117751,	7 2 11 3 9 0 4 10 5 6 1 8 
48390,	117794,	5 2 1 4 8 7 10 9 0 6 3 11 
48010,	118393,	5 0 3 1 2 6 7 8 4 9 10 11 
40950,	119232,	10 8 6 7 5 3 11 4 2 1 9 0 
50398,	118638,	8 11 7 9 5 10 6 1 0 4 2 3 
47490,	118723,	2 10 6 7 11 1 4 8 0 5 3 9 
46894,	117537,	4 2 3 11 10 0 9 6 7 5 1 8 
48518,	119456,	5 1 9 2 3 10 0 8 4 7 6 11 
45156,	117928,	10 1 4 8 0 5 2 6 9 11 7 3 
