181326,	196,	24 4 3 20 29 26 80 47 51 62 25 56 53 7 68 58 87 48 72 49 84 31 83 71 98 66 5 16 63 18 60 86 11 75 6 95 13 54 50 19 9 90 36 76 59 77 23 78 33 96 32 57 91 28 22 2 52 0 35 61 67 79 45 82 74 65 42 92 15 99 85 39 34 44 69 55 27 88 93 14 8 89 40 17 38 97 81 41 43 73 21 46 12 37 70 94 64 30 1 10 
178704,	193,	29 51 48 79 71 87 72 2 26 97 56 17 15 41 3 85 13 74 23 10 14 0 42 12 32 88 34 84 19 65 82 6 9 89 91 69 55 81 52 40 21 53 5 24 44 93 77 50 78 1 16 7 58 61 62 20 46 83 45 4 60 43 57 98 30 86 11 80 90 67 31 33 25 8 94 36 18 92 68 66 37 70 22 73 39 38 75 54 99 64 49 76 28 47 59 63 35 95 27 96 
177354,	194,	50 67 81 3 51 41 73 18 8 14 45 33 83 82 10 1 53 60 20 77 69 28 96 7 0 65 78 5 22 47 21 42 66 32 54 34 98 12 84 4 15 76 49 91 37 26 62 13 89 19 9 48 56 17 95 39 93 87 52 30 44 97 31 90 88 57 61 94 38 63 80 85 72 58 74 24 35 64 68 23 6 75 43 71 70 36 86 46 16 27 99 2 29 40 25 55 59 79 11 92 
178196,	194,	18 32 39 16 58 95 8 7 90 6 38 71 44 85 74 17 24 60 99 0 63 49 43 45 93 82 77 89 51 37 52 59 30 33 79 70 61 62 81 22 84 21 66 12 34 55 35 1 76 41 86 48 2 9 20 69 3 47 23 46 67 27 94 97 26 53 72 54 42 73 83 78 50 57 10 28 65 91 40 68 13 31 36 5 87 98 88 92 14 4 80 15 25 19 29 56 11 96 64 75 
175682,	193,	28 65 42 55 51 80 74 99 87 81 75 26 17 62 5 36 71 0 32 76 59 49 50 48 93 82 69 38 83 14 95 22 6 20 84 45 39 30 56 90 72 73 52 21 85 54 27 29 43 2 1 31 64 97 12 15 88 18 7 25 61 96 94 9 57 37 34 23 19 66 78 16 46 79 24 89 92 47 86 41 68 63 70 44 10 3 91 67 98 40 58 35 60 4 8 53 13 77 33 11 
179926,	196,	11 56 74 38 29 77 7 97 86 42 49 50 78 53 14 63 99 79 72 87 10 96 43 92 67 25 17 45 40 46 52 30 61 8 24 32 98 39 60 19 95 13 35 6 48 47 3 85 36 51 84 83 18 64 82 15 2 44 23 62 20 4 69 80 88 81 21 57 66 90 9 68 76 89 65 26 16 1 55 73 31 5 28 93 94 33 41 27 54 91 0 75 71 58 37 70 22 12 59 34 
180742,	194,	61 66 63 20 34 11 48 33 69 83 28 9 52 55 76 88 64 79 62 37 13 36 44 40 19 57 31 97 42 73 95 87 68 26 16 82 12 96 10 74 94 46 70 75 90 58 5 71 3 15 22 2 54 23 50 27 41 98 29 72 84 24 39 56 17 81 80 85 92 45 67 18 65 49 6 32 8 1 91 53 7 25 30 35 77 93 51 14 0 60 86 38 43 4 21 47 89 78 59 99 
179388,	194,	51 35 16 39 32 4 65 28 66 64 8 15 40 33 81 47 56 72 41 89 31 3 10 25 73 0 85 20 78 58 83 93 60 88 45 46 96 48 94 86 71 44 62 59 38 76 68 69 34 77 79 74 6 29 52 49 97 30 23 75 70 63 2 22 27 7 11 17 36 18 82 99 87 50 95 90 80 9 54 53 37 19 61 14 5 84 55 57 92 42 43 26 67 21 1 12 91 98 13 24 
180248,	196,	55 68 44 15 51 43 46 59 86 9 14 47 2 58 99 67 73 21 78 16 74 25 61 1 54 94 69 60 97 79 77 8 30 34 88 62 0 4 66 35 48 85 63 93 27 38 28 22 98 5 90 91 75 20 26 64 18 57 87 45 12 72 92 3 84 10 19 37 7 53 71 83 41 82 6 11 40 81 76 24 39 31 70 49 33 89 29 52 17 42 95 32 56 65 23 50 36 80 13 96 
177496,	196,	91 65 4 74 62 43 98 64 35 70 95 71 77 47 46 6 0 54 29 8 94 81 11 31 37 80 3 55 48 78 59 87 25 41 39 2 86 23 13 44 38 30 14 53 93 10 21 34 67 88 56 52 58 51 45 75 15 63 96 12 28 19 16 60 1 20 90 99 69 5 82 9 17 26 72 49 83 24 73 76 89 61 97 68 7 57 42 92 84 18 85 22 27 66 33 79 32 40 50 36 
