299550,	60.037,	60.037,	45933,	299520,	11 3 69 34 62 59 15 77 21 94 38 63 80 33 68 44 41 22 10 81 95 20 28 35 58 51 83 90 87 46 93 92 39 30 36 61 26 32 23 16 65 29 97 88 47 72 50 45 8 70 0 13 31 73 6 96 40 71 37 89 4 17 67 43 98 1 78 19 27 12 18 84 91 55 9 99 14 2 66 24 48 52 85 53 42 25 54 7 76 60 64 5 82 75 79 49 74 86 56 57 
299046,	60.038,	60.037,	43583,	298676,	38 41 85 27 86 42 9 7 33 40 25 55 98 79 28 70 12 54 96 17 63 47 99 10 64 48 89 60 44 69 2 83 56 16 75 8 61 11 78 49 71 50 72 97 53 45 58 46 62 1 36 65 94 5 82 74 14 67 76 22 95 87 73 20 51 0 39 19 92 57 93 84 15 91 29 23 34 43 21 31 37 26 24 77 90 88 80 30 66 6 13 3 52 59 32 4 35 18 81 68 
300558,	60.036,	60.037,	44791,	300540,	53 23 27 47 9 59 57 63 13 2 61 34 52 32 71 86 84 24 36 21 95 77 0 92 97 46 42 38 20 74 30 90 22 40 56 49 10 99 3 78 14 67 43 82 76 19 41 45 58 8 73 28 37 31 26 94 7 39 69 93 68 65 85 72 91 15 75 88 98 62 4 89 80 54 83 11 64 29 87 35 55 79 70 12 51 6 5 50 81 96 33 60 44 18 17 25 16 48 66 1 
298790,	60.037,	60.037,	46786,	298732,	19 79 29 17 62 63 14 99 97 35 54 95 88 6 78 60 70 57 91 67 76 5 36 9 71 52 10 77 50 32 66 43 83 98 28 33 89 40 92 84 7 39 61 2 96 55 42 86 1 51 68 48 27 64 75 34 90 15 46 49 23 41 58 81 16 93 25 82 8 24 38 69 87 73 72 3 21 22 44 18 30 45 59 85 26 12 47 31 20 56 65 80 13 94 53 37 0 4 11 74 
298392,	60.039,	60.037,	46127,	298062,	11 39 19 85 76 15 21 59 5 28 0 30 38 9 75 77 55 90 92 65 86 73 50 22 10 45 64 80 98 53 18 87 31 72 14 20 47 97 4 48 79 3 74 24 25 26 1 51 82 44 61 84 58 35 81 78 40 37 43 99 67 13 71 12 60 57 23 42 63 66 8 94 46 41 29 36 83 16 68 32 27 2 96 33 62 89 54 56 91 95 17 52 7 88 69 34 49 6 93 70 
298242,	60.037,	60.037,	46715,	298224,	25 80 84 8 17 66 74 1 91 32 50 53 27 2 9 37 99 6 55 98 97 36 48 33 51 61 13 96 73 11 72 35 76 44 0 45 89 19 69 3 82 5 92 46 47 24 15 58 10 87 90 59 52 4 29 86 31 62 42 57 77 56 38 64 68 7 39 41 75 70 85 78 71 40 22 28 81 63 67 16 12 60 14 30 88 21 20 18 49 23 43 83 93 65 26 54 95 79 94 34 
299634,	60.036,	60.037,	46052,	299552,	98 20 77 72 33 99 14 84 4 68 87 56 32 10 95 59 76 36 21 79 39 43 65 73 17 25 58 42 93 26 30 53 15 3 8 85 31 46 7 1 96 16 82 12 67 34 71 52 74 86 97 23 61 49 11 22 13 55 92 18 63 50 27 45 41 5 35 60 90 51 62 70 54 75 88 81 57 28 94 37 83 80 66 64 0 78 2 47 19 29 24 69 89 38 40 44 6 9 91 48 
298534,	60.037,	60.037,	46822,	298616,	1 65 88 64 71 31 84 16 74 75 15 50 87 97 85 96 12 11 24 34 82 86 62 94 30 92 77 80 35 23 33 20 57 8 68 45 10 52 17 95 26 6 46 48 9 36 51 4 91 29 53 90 42 43 79 13 99 38 60 63 76 70 28 47 37 83 93 0 22 58 2 54 44 69 67 59 21 98 49 81 61 78 7 18 27 19 55 5 89 72 56 25 66 73 14 40 3 32 39 41 
299110,	60.037,	60.037,	44269,	298434,	82 16 66 62 56 80 26 44 29 10 81 68 65 85 42 55 38 15 54 72 40 52 79 34 19 14 22 88 7 6 87 83 30 3 98 63 20 75 89 93 99 61 8 33 60 46 64 47 94 35 9 5 36 57 51 45 74 77 11 92 43 13 76 97 17 53 90 48 21 18 73 12 91 24 70 25 2 39 71 96 95 84 69 27 37 32 1 31 50 58 4 49 23 41 67 28 59 0 86 78 
299900,	60.036,	60.037,	47213,	300246,	74 17 90 7 68 32 46 35 23 0 38 6 79 3 62 83 20 4 42 41 2 60 21 27 26 81 78 65 76 98 97 36 72 37 39 29 59 44 67 91 94 87 43 9 28 16 48 18 92 22 14 85 47 75 19 70 89 30 53 49 88 51 61 45 99 77 96 8 93 55 40 58 54 57 34 11 64 71 31 33 82 5 84 80 10 66 12 69 56 52 25 13 24 63 50 86 1 15 73 95 
