3358084,	8752376,	7.54735,	24 0 33 8 23 28 31 51 35 57 29 59 15 14 32 55 53 43 58 5 1 26 27 61 45 2 20 48 19 40 10 3 11 63 17 36 25 41 7 9 30 42 13 18 52 54 47 12 4 62 39 56 60 37 44 38 16 46 34 21 22 49 50 6 
2878286,	8753986,	7.54735,	44 39 3 19 16 62 32 20 45 38 56 0 36 51 35 24 18 27 13 14 33 37 8 17 47 1 54 12 53 22 4 30 43 46 5 2 55 41 31 60 10 61 63 34 6 40 9 49 7 11 15 21 29 58 48 42 25 57 28 26 52 23 59 50 
2632524,	8744373,	7.54735,	14 8 54 19 27 33 22 11 42 57 40 30 53 23 48 62 39 0 35 28 18 36 45 17 49 37 13 60 32 58 63 1 2 51 29 56 46 20 15 47 12 9 31 25 5 38 26 44 55 6 59 3 41 10 24 52 50 7 34 21 16 4 43 61 
2975042,	8753887,	7.54735,	9 43 38 37 12 45 1 57 3 62 42 25 36 0 54 22 18 52 5 39 11 34 4 29 53 19 51 33 50 40 55 23 14 32 26 6 58 41 10 15 24 44 56 35 47 8 60 30 13 63 27 20 48 61 49 7 2 16 31 21 28 59 17 46 
3058574,	8583077,	7.54735,	58 6 29 24 27 39 57 23 15 32 36 0 2 31 12 21 55 56 17 53 59 33 37 51 40 60 18 16 20 50 47 48 46 30 3 43 22 11 38 7 35 4 34 5 54 10 19 41 25 42 14 63 62 28 61 26 1 13 49 9 8 45 44 52 
2613282,	8590558,	7.54735,	36 10 26 17 39 51 6 3 1 61 38 4 24 20 8 7 41 18 30 49 46 35 45 63 34 29 33 52 15 62 50 37 0 12 9 42 43 5 54 58 23 28 14 47 11 48 19 25 22 32 56 27 16 53 31 60 44 21 2 57 40 55 59 13 
2901734,	8601949,	7.54735,	41 10 30 5 0 47 4 48 13 22 54 39 58 29 25 20 49 57 19 50 23 15 43 61 32 9 37 12 52 62 36 26 59 42 40 1 17 6 27 38 46 2 44 35 18 56 60 63 53 3 8 55 7 33 51 31 24 14 11 21 45 28 16 34 
2680686,	8634688,	7.54735,	44 0 33 26 19 42 20 62 17 24 46 6 38 15 12 18 43 22 54 41 59 36 48 30 16 28 9 7 60 57 3 27 51 52 4 35 37 25 32 11 45 14 10 34 21 49 53 13 29 55 5 2 61 8 1 39 50 47 56 23 31 63 40 58 
2899368,	8232807,	7.54735,	9 11 2 51 24 23 50 57 32 34 52 18 63 1 14 33 25 49 31 37 30 62 3 38 54 60 29 10 39 56 21 7 6 26 35 55 19 45 27 4 59 12 22 13 48 8 17 44 53 16 28 40 46 5 61 15 47 36 0 41 58 20 42 43 
2942036,	8371701,	7.54735,	26 17 15 58 31 36 22 18 21 54 27 57 6 47 63 38 30 35 62 61 13 59 28 34 24 52 4 33 1 29 23 37 12 44 42 51 14 8 16 3 41 10 32 39 60 49 43 11 9 19 48 46 55 5 56 25 50 45 2 40 20 7 53 0 
2764976,	8800443,	7.54735,	59 29 2 32 1 42 28 27 5 11 40 49 16 41 26 22 20 37 3 56 45 53 60 44 46 31 35 61 50 23 17 47 10 18 8 36 38 52 62 0 57 6 63 30 48 54 51 7 43 24 19 33 25 21 14 4 58 15 13 9 34 55 39 12 
2930278,	8589798,	7.54735,	55 32 21 39 34 14 28 15 57 11 35 48 19 2 50 36 31 49 52 25 0 44 26 20 43 5 1 56 8 12 40 4 9 51 60 6 24 30 46 61 38 42 23 7 18 58 54 13 22 27 62 16 45 37 59 47 33 63 53 17 29 41 10 3 
2560356,	8860179,	7.54735,	31 35 7 44 47 51 59 22 29 48 2 32 27 55 49 14 53 18 23 0 42 5 20 13 56 45 8 10 58 16 3 11 52 9 4 46 36 17 50 19 28 60 41 25 37 40 43 34 54 57 33 15 62 61 1 63 30 38 39 12 6 24 26 21 
2611544,	8972326,	7.54735,	63 25 11 46 59 62 5 39 14 29 51 28 56 0 53 41 24 54 42 10 33 45 23 52 12 35 6 43 2 3 18 31 9 50 58 7 40 55 61 8 37 57 44 60 4 16 49 38 34 27 21 22 47 17 20 30 48 1 15 13 19 26 36 32 
2971650,	8391127,	7.54735,	40 63 26 53 22 45 38 55 59 60 4 13 25 37 2 51 34 50 6 56 19 15 29 3 14 16 42 9 30 58 62 44 41 35 21 28 31 5 32 54 33 43 36 57 12 8 23 11 10 0 52 1 48 20 24 7 27 18 61 17 46 49 39 47 
2746996,	8613671,	7.54735,	58 11 63 56 1 0 30 41 43 24 60 37 4 20 51 15 16 26 50 52 23 14 31 19 27 29 54 34 35 44 2 49 17 6 39 5 21 12 55 18 53 3 33 47 45 8 7 13 36 9 57 46 48 28 59 10 32 38 62 22 25 40 61 42 
3058408,	8716886,	7.54735,	50 25 29 61 2 58 35 27 55 16 19 41 28 23 3 15 49 60 30 62 57 18 12 22 6 33 5 52 42 10 53 11 40 17 39 4 7 46 20 63 24 21 8 31 1 36 38 14 37 9 54 34 0 56 48 44 13 26 59 47 43 51 32 45 
3088600,	8662385,	7.54735,	55 36 62 61 2 32 48 35 45 16 14 6 56 50 23 22 3 21 34 17 18 46 59 63 0 11 44 25 15 4 41 38 19 52 20 54 60 40 58 26 12 13 30 7 24 9 57 37 47 51 33 29 27 53 39 10 8 42 5 28 31 43 49 1 
3389280,	8641815,	7.54735,	8 53 4 19 61 52 54 23 41 36 15 27 5 60 39 0 63 49 40 26 11 33 56 57 7 42 31 13 29 58 21 50 43 48 22 44 25 17 28 9 10 59 20 46 37 18 30 12 47 16 14 1 35 51 34 32 3 38 24 45 62 2 6 55 
