5473562,	8.068,	8.02663,	9233,	5744572,	6 11 3 12 1 2 19 0 9 5 8 17 18 20 7 15 13 14 4 23 25 24 22 10 16 21 
5536390,	13.411,	8.02663,	10851,	5862663,	3 14 15 7 19 17 5 12 21 13 18 0 4 20 6 1 8 11 10 22 9 16 23 24 2 25 
5517469,	9.699,	8.02663,	9381,	5967634,	14 6 20 21 19 11 25 1 13 12 4 8 0 17 16 10 3 7 5 23 15 24 9 22 2 18 
5462366,	9.403,	8.02663,	11865,	5817799,	5 10 13 1 7 0 24 3 20 6 11 18 17 19 15 16 4 2 8 9 21 12 25 23 22 14 
5553671,	7.542,	8.02663,	10317,	6035721,	10 12 11 1 7 2 24 19 4 0 8 18 17 13 5 14 20 6 15 23 16 21 9 25 22 3 
5557307,	8.618,	8.02663,	10884,	5826724,	5 1 6 12 11 0 20 14 8 4 18 19 3 17 13 24 2 16 15 23 9 7 21 25 22 10 
5573365,	8.011,	8.02663,	10279,	5922543,	12 5 13 25 1 0 16 20 10 15 3 18 17 6 11 24 19 8 14 9 21 22 23 7 2 4 
5690981,	22.237,	8.02663,	12675,	6186389,	15 20 10 16 24 13 17 7 3 18 19 11 2 0 14 12 1 22 25 9 23 21 4 8 6 5 
5550680,	6.392,	8.02663,	10999,	5866796,	10 7 11 1 18 14 16 4 24 2 8 3 17 13 12 19 15 20 25 23 9 21 22 5 0 6 
5603757,	5.147,	8.02663,	11524,	5929940,	1 2 6 10 5 14 24 18 16 23 13 19 3 17 8 25 20 0 11 9 15 22 21 12 4 7 
5549598,	6.475,	8.02663,	9765,	5774979,	5 12 11 1 17 14 0 24 15 20 8 18 13 3 7 23 10 19 2 9 21 22 25 16 4 6 
5485982,	5.077,	8.02663,	10376,	5869505,	12 5 1 11 17 0 24 19 3 6 18 8 13 2 25 15 4 7 20 22 23 21 16 9 10 14 
5617864,	7.553,	8.02663,	9977,	6138859,	1 5 17 18 13 4 20 14 0 24 19 8 2 3 11 10 15 6 25 16 23 21 12 22 7 9 
5577200,	6.251,	8.02663,	9100,	5950921,	25 7 3 5 17 2 20 19 15 10 0 8 13 18 22 4 11 14 12 24 9 1 21 16 6 23 
5472154,	7.779,	8.02663,	10179,	6108743,	14 3 20 6 7 13 11 17 21 5 4 18 8 0 16 22 12 10 19 24 9 23 25 15 1 2 
5551336,	5.317,	8.02663,	10349,	6010276,	1 10 11 6 13 0 14 8 24 16 19 18 17 3 7 23 25 15 20 9 21 22 12 5 2 4 
5532522,	8.813,	8.02663,	10868,	5935942,	25 0 14 16 5 2 19 1 18 11 17 4 8 20 10 21 3 12 13 24 23 9 7 15 22 6 
5567405,	7.971,	8.02663,	10339,	6121293,	10 2 1 20 17 7 14 3 18 6 13 4 19 11 16 0 8 5 12 23 9 15 21 22 25 24 
5545231,	8.917,	8.02663,	10266,	6264675,	2 6 20 1 10 13 17 23 8 5 4 14 11 19 3 7 12 0 18 16 9 24 15 21 25 22 
5568213,	6.772,	8.02663,	8941,	5923094,	11 6 1 25 10 14 2 4 8 0 17 3 19 18 12 24 9 16 5 13 7 23 21 15 22 20 
5508155,	5.911,	8.02663,	9793,	5887816,	20 0 14 23 7 1 21 2 19 11 8 4 18 12 10 13 22 3 6 9 24 16 25 15 17 5 
5529953,	7.967,	8.02663,	11096,	5975463,	5 3 12 11 17 15 2 14 4 19 8 18 13 6 7 23 20 0 22 21 24 1 9 25 10 16 
5553516,	5.184,	8.02663,	10527,	5708271,	12 25 10 13 17 16 20 15 2 14 3 18 6 11 9 8 19 5 4 23 21 7 22 24 0 1 
5584679,	5.945,	8.02663,	9267,	6003935,	11 6 12 7 17 14 4 0 24 20 13 8 18 3 1 19 2 16 15 9 21 22 23 25 10 5 
5577315,	5.702,	8.02663,	10376,	5934426,	14 10 3 12 11 8 17 2 13 5 4 18 6 20 7 9 1 0 19 23 24 16 22 21 15 25 
5565565,	5.227,	8.02663,	9903,	5835805,	7 3 1 11 6 4 23 14 24 20 8 19 13 17 25 18 16 2 5 21 15 9 22 12 10 0 
5594520,	14.354,	8.02663,	11432,	5861745,	2 21 0 3 6 12 22 1 5 19 8 20 4 11 17 7 18 15 14 16 9 23 25 24 13 10 
5603197,	6.172,	8.02663,	9779,	5921426,	12 1 7 16 13 17 14 20 6 24 18 19 3 4 23 9 0 2 11 21 22 10 15 5 25 8 
5505233,	9.126,	8.02663,	9432,	6199891,	0 14 25 6 19 17 13 7 12 5 4 8 11 20 2 1 21 3 18 16 9 24 23 15 10 22 
5627033,	5.762,	8.02663,	9272,	5874558,	3 6 12 9 7 20 16 8 23 15 19 0 18 11 13 10 14 5 17 21 25 22 1 24 2 4 
5617250,	6.38,	8.02663,	9799,	5897452,	12 11 6 3 20 0 8 24 16 5 19 17 13 18 7 4 23 25 10 9 22 21 1 15 14 2 
5637636,	9.362,	8.02663,	9829,	5929288,	10 7 1 9 0 2 20 4 3 14 13 18 19 17 25 22 11 15 6 23 24 21 8 5 12 16 
5574259,	8.039,	8.02663,	9809,	5925572,	6 12 11 7 19 14 4 0 2 18 8 13 17 3 1 16 20 25 5 23 22 21 15 9 10 24 
5466480,	9.977,	8.02663,	9815,	6076215,	14 10 0 7 1 13 21 12 19 5 4 18 8 20 6 2 11 17 3 16 9 25 24 23 22 15 
5541504,	12.957,	8.02663,	9223,	6168388,	5 11 12 22 3 2 19 4 0 14 8 13 18 6 17 24 20 25 15 23 21 9 1 7 10 16 
5512426,	8.77,	8.02663,	10163,	5887775,	0 3 2 23 12 13 7 17 18 5 8 19 20 4 14 22 1 6 11 16 21 24 9 25 10 15 
5584627,	4.476,	8.02663,	10269,	5938043,	10 3 6 16 7 2 23 4 20 24 8 19 13 0 25 14 17 12 18 9 22 21 1 15 5 11 
5506508,	7.617,	8.02663,	9459,	6163662,	14 0 7 23 6 13 2 19 11 12 8 4 18 17 20 22 15 3 1 16 24 9 21 25 5 10 
5777862,	2.992,	8.02663,	8125,	5867931,	0 24 1 14 16 10 7 15 8 3 18 17 2 9 19 5 13 22 11 23 20 21 25 4 6 12 
5515541,	9.73,	8.02663,	12276,	6104965,	25 0 20 10 7 6 21 12 19 1 13 4 8 3 24 22 2 18 17 16 14 9 23 15 11 5 
5547180,	11.816,	8.02663,	9525,	5972389,	12 3 7 5 17 0 23 2 20 15 13 19 18 8 6 10 16 14 11 22 1 9 24 25 21 4 
5624085,	8.389,	8.02663,	9709,	6042870,	6 5 1 20 8 24 23 2 25 12 13 18 17 14 7 19 10 11 0 21 16 22 9 15 3 4 
5504020,	5.515,	8.02663,	9535,	6108205,	1 25 13 6 17 20 24 4 16 15 19 18 11 3 7 0 8 5 2 23 9 21 22 12 14 10 
5592339,	6.482,	8.02663,	10454,	5823883,	5 12 20 6 7 0 19 13 1 8 18 17 4 11 3 16 15 25 14 23 9 21 22 10 24 2 
5496966,	8.455,	8.02663,	10510,	5815987,	20 1 14 15 11 17 12 25 10 7 8 19 4 2 6 18 13 3 0 16 9 23 24 22 21 5 
5544482,	7.49,	8.02663,	10373,	5986713,	5 1 3 6 11 0 14 7 24 25 8 19 18 2 17 16 23 20 13 21 9 22 15 12 4 10 
5526721,	6.164,	8.02663,	10102,	6027192,	0 10 14 1 7 13 17 11 22 19 4 8 20 12 6 21 5 3 18 16 9 24 23 25 2 15 
5554539,	7.016,	8.02663,	11010,	5891742,	25 14 7 5 6 13 11 2 15 19 17 0 18 20 8 12 1 3 4 23 24 9 16 21 10 22 
5579008,	9.554,	8.02663,	9675,	6102606,	2 25 15 12 13 8 7 3 18 20 4 0 19 11 5 6 14 17 10 16 24 9 22 21 23 1 
