5467752,	10.01,	10.0098,	91,	5924584,	10 11 0 2 25 1 22 3 12 6 20 13 4 8 14 7 18 19 17 15 23 16 24 9 5 21 
5751813,	10.009,	10.0098,	91,	5944959,	14 25 10 1 7 12 15 11 2 20 0 18 8 19 6 22 13 17 24 16 5 4 23 3 21 9 
5465495,	10.01,	10.0098,	93,	6053126,	7 11 20 14 10 25 1 12 2 6 18 13 8 4 5 3 19 17 0 22 9 24 23 16 21 15 
5437498,	10.008,	10.0098,	93,	6204529,	22 13 12 5 1 20 0 3 14 7 19 17 11 6 10 25 8 18 4 15 23 9 21 2 24 16 
5472903,	10.009,	10.0098,	93,	5855548,	10 0 3 14 6 5 12 1 11 13 8 9 2 4 20 7 18 19 17 15 24 25 23 16 22 21 
5433793,	10.009,	10.0098,	92,	5926858,	22 12 5 11 1 25 10 20 14 0 19 6 7 17 13 3 18 8 4 15 2 21 23 9 24 16 
5617950,	10.01,	10.0098,	91,	5909908,	2 14 15 25 6 4 1 10 20 11 0 21 19 17 12 23 7 13 8 5 9 22 18 3 16 24 
5653144,	10.009,	10.0098,	89,	5884803,	3 2 14 25 1 10 20 11 12 17 19 0 23 7 6 22 8 13 18 24 16 4 15 5 21 9 
5444299,	10.011,	10.0098,	92,	6072827,	22 10 25 0 6 5 12 11 1 13 20 8 2 4 14 7 18 17 19 15 24 3 16 23 21 9 
5577915,	10.008,	10.0098,	90,	5977287,	22 3 14 0 6 5 10 11 1 13 20 2 8 21 4 12 18 19 17 15 9 16 24 25 7 23 
5586728,	10.011,	10.0098,	90,	5937527,	23 14 2 25 3 1 11 10 20 17 0 21 19 7 6 12 13 18 4 24 8 9 15 5 22 16 
5917359,	10.01,	10.0098,	90,	5837201,	6 13 25 15 10 24 2 23 14 0 3 11 18 19 22 20 8 17 12 7 4 5 21 16 9 1 
5454802,	10.01,	10.0098,	86,	5802417,	10 1 12 2 11 20 6 25 14 3 17 13 19 0 5 7 8 18 4 22 15 21 23 16 24 9 
5583940,	10.009,	10.0098,	90,	5946921,	14 25 3 2 10 1 12 11 5 17 21 0 19 20 6 7 18 13 4 16 8 9 15 24 22 23 
5520198,	10.01,	10.0098,	90,	5969186,	13 23 0 10 19 1 7 6 20 3 17 11 14 12 2 5 18 8 4 16 21 24 15 9 25 22 
